시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
경남,성호중학교,1995,남해,중,자체활용,경상남도 남해군 서면 서상리 655-1
경남,송남초등학교,1999,남해,초,자체활용,경상남도 남해군 미조면 송정리 1175-4
경남,수산초등학교하남대사분교장,2013,밀양,초,자체활용,경상남도 밀양시 하남읍 대사리 242-2
경남,수월초등학교,1999,통영,초,대부,경상남도 통영시 도산면 수월리 866-1
경남,숭덕초등학교상동분교장,1998,거제,초,대부,경상남도 거제시 둔덕면 상둔리 859-1
경남,숭덕초등학교학산분교장,1999,거제,초,대부,경상남도 거제시 둔덕면 학산리 486-3
경남,숭덕초등학교화도분교장,2010,거제,초,대부,경상남도 거제시 둔덕면 술역리 808-1
경남,숭산초등학교,2019,합천,초,자체활용,경상남도 합천군 가야면  매안리 392
경남,신기초등학교,2007,하동,초,자체활용,경상남도 하동군 하동읍 신기리 429-6
경남,신안초등학교둔철분교장,1998,산청,초,대부,경상남도 산청군  신안면 안봉리 916-1
경남,신월초등학교,1994,김해,초,자체활용,경상남도 김해시 진례면 신월리 440-2
경남,신음초등학교,1999,함안,초,자체활용,경상남도 함안군 가야읍 신음리 1034
경남,신천초등학교,2014,김해,초,미활용,경상남도 김해시 한림면 신천리 662
경남,신천초등학교내대분교장,1992,산청,초,자체활용,경상남도 산청군 시천면 내대리 569
경남,신천초등학교중산분교장,2008,산청,초,대부,경상남도 산청군 시천면 중산리 293-4
경남,신흥초등학교,1992,하동,초,미활용,경상남도 하동군 북천면 사평리 491-2
경남,쌍봉초등학교,1996,거창,초,대부,경상남도 거창군 고제면 봉산리 624
경남,안법초등학교,1999,밀양,초,대부,경상남도 밀양시 단장면 안법리 506-3
경남,안의초등학교대지분교장,1997,함양,초,자체활용,경상남도 함양군 안의면 신안리 975
경남,안태초등학교,1999,밀양,초,대부,경상남도 밀양시 삼랑진읍 안태리 542
경남,양곡초등학교귀산분교장,1999,창원,초,대부,경상남도 창원시 성산구 귀산동 499
경남,양보중학교,2016,하동,중,자체활용,경상남도 하동군 양보면 운암리 355-1
경남,양보초등학교우복분교장,1992,하동,초,대부,경상남도 하동군 양보면 우복리 367-1
경남,양지초등학교,1996,고성,초,대부,경상남도 고성군 대가면 연지리 279
경남,양촌초등학교,1999,창원,초,대부,경상남도 창원시 마산합포구 진전면 양촌리 390
경남,양포초등학교,1999,하동,초,미활용,경상남도 하동군 진교면 양포리 111-1
경남,영오초등학교영동분교장,1998,고성,초,대부,경상남도 고성군 영오면 연당리 705
경남,오동초등학교,1992,산청,초,대부,경상남도 산청군 신안면 청현리 526
경남,옥봉초등학교,1999,창원,초,대부,경상남도 창원시 마산합포구 진전면 임곡리 305-1
경남,옥종초등학교두양분교장,1998,하동,초,대부,경상남도 하동군 옥종면 두양리 460
경남,외암초등학교별천분교장,1989,함안,초,미활용,경상남도 함안군 여항면 주동리 352
경남,용주초등학교장전분교장,1991,합천,초,자체활용,경상남도 합천군 용주면 장전리 641
경남,용현초등학교,1992,거창,초,대부,경상남도 거창군 신원면 대현리 86-1
경남,운암초등학교,1993,의령,초,자체활용,경상남도 의령군 가례면 운암리 117
경남,운암초등학교,1999,하동,초,미활용,경상남도 하동군 양보면 운암리 251
경남,원당초등학교,1999,진주,초,대부,경상남도 진주시 수곡면 원외리 2-1
경남,원량초등학교노대분교장,2012,통영,초,미활용,경상남도 통영시 욕지면 노대리 66-3
경남,원량초등학교도덕분교장,2005,통영,초,대부,경상남도 통영시 욕지면 서산리 644
경남,원량초등학교옥동분교장,2008,통영,초,미활용,경상남도 통영시 욕지면 동항리 384-1
경남,월령초등학교,1999,창녕,초,미활용,경상남도 창녕군 영산면 월령리 995-1
경남,월성초등학교,1997,산청,초,자체활용,경상남도 산청군 신안면 신안리 423-3
경남,위천중학교,2016,거창,중,자체활용,경상남도 거창군 위천면 장기리 381
경남,위천중학교북상분교장,2001,거창,초,자체활용,경상남도 거창군 북상면 갈계리 1075-3
경남,유림초등학교화남분교장,1992,함양,초,미활용,경상남도 함양군 유림면 손곡리 280
경남,유어초등학교회룡분교장,1997,창녕,초,자체활용,경상남도 창녕군 유어면 대대리 387-1
경남,율곡초등학교,1999,합천,초,미활용,경상남도 합천군  율곡면 와리 384
경남,율원초등학교,1996,거창,초,대부,경상남도 거창군 신원면 양지리 284-1
경남,이반성초 진산분교장,1999,진주,초,자체활용,경상남도 진주시 이반성면 가산리 151-1
경남,인산초등학교,1993,밀양,초,자체활용,경상남도 밀양시 청도면 인산리 656
경남,일운초등학교구조라분교장,1998,거제,초,대부,경상남도 거제시 일운면 구조라리 58-2
경남,일운초등학교내도분교장,1998,거제,초,대부,경상남도 거제시 일운면 와현리 11-2
경남,일운초등학교망월분교장,1998,거제,초,미활용,경상남도 거제시 일운면 망치리 418-1
경남,일운초등학교예구분교장,1996,거제,초,대부,경상남도 거제시 일운면 와현리 255
경남,입석초등학교,1999,산청,초,미활용,경상남도 산청군 단성면 입석리 1154-2
경남,입석초등학교운리분교장,1993,산청,초,대부,경상남도 산청군 단성면 운리 515
경남,장목초등학교황포분교장,1996,거제,초,미활용,경상남도 거제시 장목면 구영리 735
경남,적량초등학교영신분교장,2007,하동,초,미활용,경상남도 하동군 적량면 동산리 542
경남,정곡초정남분교장,1999,의령,초,미활용,경상남도 의령군 정곡면 백곡리 1162
경남,정동초등학교신월분교장,1994,사천,초,미활용,경상남도 사천시 정동면 소곡리 423
경남,주동초등학교,2019,김해,초,미활용,경상남도 김해시 주촌면 선지리 248-1
경남,주상초등학교보해분교장,1999,거창,초,미활용,경상남도 거창군 주상면 남산리 245
경남,중리초등학교안평분교장,1999,창원,초,미활용,경상남도 창원시 마산회원구 내서읍 평성리 23-2
경남,중유초등학교,1992,거창,초,대부,경상남도 거창군 신원면 중유리 275-1
경남,진교초등학교고이분교장,1992,하동,초,미활용,경상남도 하동군 진교면 고이리 457-1
경남,진교초등학교안심분교장,1992,하동,초,대부,경상남도 하동군 진교면 백련리 352-12
경남,진교초등학교월운분교장,1992,하동,초,대부,경상남도 하동군 진교면 월운리 573-2
경남,진동초등학교태봉분교장,1995,창원,초,자체활용,경상남도 창원시 마산합포구 진동면 태봉리 68
경남,진전초등학교낙동분교장,1999,창원,초,미활용,경상남도 창원시 마산합포구 진전면 시락리 218
경남,진전초등학교여항분교장,1999,창원,초,자체활용,경상남도 창원시 마산합포구 진전면 고사리 542
경남,진해동중학교,2002,창원,중,자체활용,경상남도 창원시 진해구 성내동 396-9
경남,창락초등학교,2007,창녕,초,자체활용,경상남도 창녕군 창녕읍 퇴천리 544
경남,창호초등학교신호분교장,1998,거제,초,대부,경상남도 거제시 사등면 창호리 2126-2
경남,청암초등학교명사분교장,1995,하동,초,대부,경상남도 하동군 청암면 명호리 854-2
경남,청암초등학교상이분교장,1993,하동,초,대부,경상남도 하동군 청암면 상이리 118
경남,초동중학교,2015,밀양,중,자체활용,경상남도 밀양시 초동면 성만리 624-2
경남,초동초등학교반월분교장,1999,밀양,초,대부,경상남도 밀양시 초동면 대곡리 245-3
경남,초전초등학교,1999,사천,초,미활용,경상남도 사천시 사남면 초전리 551-1
경남,충렬초등학교대평분교장,1991,통영,초,대부,경상남도 통영시 평림동 495
경남,칠북초등학교,2015,함안,초,자체활용,경상남도 함안군 칠북면 검단리 980
경남,팔령초등학교,1999,함양,초,미활용,경상남도 함양군 함양읍 구룡리 730-2
경남,평림초등학교,1998,통영,초,대부,경상남도 통영시 평림동 809-1
경남,하일중학교,1999,고성,중,자체활용,경상남도 고성군 하일면 학림리 701-2
경남,하일초등학교장춘분교장,2012,고성,초,미활용,경상남도 고성군 하일면 춘암리 401-2
경남,하청초등학교덕곡분교장,1998,거제,초,대부,경상남도 거제시 하청면 덕곡리 579
경남,한려초등학교영운분교장,2021,통영,초,미활용,경상남도 통영시 산양읍 영운리 860
경남,한림초등학교가산분교장,2009,김해,초,대부,경상남도 김해시 한림면 가산리 191-2
경남,한산초등학교,2013,통영,초,대부,경상남도 통영시 한산면 창좌리 726-1
경남,한산초등학교두억분교장,2003,통영,초,미활용,경상남도 통영시 한산면 두억리 311-2
경남,한산초등학교매물도분교장,2005,통영,초,대부,경상남도 통영시 한산면 매죽리 34-13
경남,한산초등학교비진분교장,2012,통영,초,미활용,경상남도 통영시 한산면 비진리 75-3
경남,한산초등학교용호분교장,2012,통영,초,대부,경상남도 통영시 한산면 용호리 459-1
경남,한산초등학교좌도분교장,1998,통영,초,미활용,경상남도 통영시 한산면 창좌리 174-1
경남,한평초등학교,2018,진주,초,자체활용,경상남도 진주시 대평면 대평리 509
경남,합천중학교봉산분교장,2012,합천,중,대부,경상남도 합천군 봉산면 김봉리 351-1
경남,회화초등학교동창분교장,1998,고성,초,미활용,경상남도 고성군 회화면 어신리 937-1
경남,횡천초등학교전대분교장,1993,하동,초,대부,경상남도 하동군 횡천면 전대리 508
제주,가시초,2001,해당없음,초,대부,제주특별자치도 서귀포시 표선면 가시리 1924
제주,고산초산양분교장,1995,해당없음,초,대부,제주특별자치도 제주시 한경면 청수리 3338
제주,광령초상전분교장,1992,해당없음,초,자체활용,제주특별자치도 제주시 애월읍 고성리 94
제주,명월초,1993,해당없음,초,대부,제주특별자치도 제주시 한림읍 명월리 1734
제주,무릉중,1999,해당없음,증,대부,제주특별자치도 서귀포시 대정읍 무릉리 3296
제주,무릉초무릉동분교장,1994,해당없음,초,대부,제주특별자치도 서귀포시 대정읍 무릉리 581-1
제주,보성초구억분교장,1995,해당없음,초,대부,제주특별자치도 서귀포시 대정읍 구억리 889-1
제주,보성초신평분교장,1992,해당없음,초,대부,제주특별자치도 서귀포시 대정읍 신평리 371-1
제주,삼양초회천분교장,1996,해당없음,초,자체활용,제주특별자치도 제주시 회천동 2307
제주,서광초동광분교장,2009,해당없음,초,대부,제주특별자치도 서귀포시 안덕면 동광리 976
제주,신도초,1998,해당없음,초,대부,제주특별자치도 서귀포시 대정읍 신도리 1382-1
제주,신도초 보흥분교장,1983,해당없음,초,미활용,제주특별자치도 서귀포시  대정읍 신도리 2495
제주,신산중,2001,해당없음,중,미활용,제주특별자치도 서귀포시  성산읍 신산리 953
제주,신산초 난산분교장,1995,해당없음,초,미활용,제주특별자치도 서귀포시  성산읍 난산리 1109
제주,신산초삼달분교장,1998,해당없음,초,대부,제주특별자치도 서귀포시 성산읍 삼달리 437-5
제주,신창중,1998,해당없음,중,미활용,제주특별자치도 제주시  한경면 신창리 135
제주,안덕초대평분교장,1996,해당없음,초,대부,제주특별자치도 서귀포시 안덕면 창천리 850
제주,어도초어음분교장,1999,해당없음,초,대부,제주특별자치도 제주시 애월읍 어음리 2922
제주,연평초,2000,해당없음,초,대부,제주특별자치도 제주시 우도면 서광리 1457
제주,영락초,1995,해당없음,초,미활용,제주특별자치도 서귀포시  대정읍 영락리 1278
제주,영천초,2002,해당없음,초,자체활용,제주특별자치도 서귀포시 상효동 1291-2
제주,용수초,1995,해당없음,초,미활용,제주특별자치도 제주시 한경면 용수리 3533
제주,장전초금덕분교장,1992,해당없음,초,대부,제주특별자치도 제주시 애월읍 유수암리 1387
제주,조수초,1995,해당없음,초,대부,제주특별자치도 제주시 한경면 조수리 315
제주,조천초신흥분교장,2010,해당없음,초,자체활용,제주특별자치도 제주시 조천읍 신흥리 94
제주,창천초 상천분교장,1992,해당없음,초,미활용,제주특별자치도 서귀포시  안덕면 상천리 470-2
제주,추자초 횡간분교장,1991,해당없음,초,미활용,제주특별자치도 제주시  추자면 대서리 산68
제주,판포초,1996,해당없음,초,대부,제주특별자치도 제주시 한경면 판포리 2846-1
제주,풍천초신풍분교장,1996,해당없음,초,대부,제주특별자치도 서귀포시 성산읍 신풍리 500
제주,하천초,2002,해당없음,초,자체활용,제주특별자치도 서귀포시  표선면 하천리 357-1
제주,화산초,2001,해당없음,초,대부,제주특별자치도 서귀포시 표선면 세화리 1811-1
