,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,위도,경도
835,경북,가음중학교,2017,의성,초,미활용,경상북도 의성군 가음면 장리 1276,36.235949500000004,128.72325348833894
838,경북,가천초등학교무학분교장,2018,성주,초,미활용,경상북도 성주군 금수면 무학리 1410,35.9260776175039,128.096914765347
841,경북,강구초등학교직천분교장,1995,영덕,초,미활용,경상북도 영덕군 강구면 원직리 261-1,36.37878,129.36676
842,경북,강동초등학교단구분교장,2014,경주,초,미활용,경상북도 경주시 강동면 단구리 1147,36.0516505112537,129.244158381032
844,경북,개진초등학교영동분교장,2008,고령,초,미활용,경상북도 고령군 개진면 생리 251 외,35.7177517971419,128.413063235042
848,경북,경주초등학교학동분교장,2002,경주,초,미활용,경상북도 경주시 내남면 비지리 545,35.7686487049842,129.110994314741
850,경북,고경중학교,2016,영천,중,미활용,경상북도 영천시 고경면 상덕리 365,36.00329,129.067168
852,경북,고로초등학교화수분교장,1996,군위,초,미활용,경상북도 군위군 고로면 화수리 963-1,36.1317234277738,128.751782057026
854,경북,고양초등학교,1999,봉화,초,미활용,경상북도 봉화군 명호면 양곡리 329-1,36.87859,128.84802
855,경북,곡송초등학교,2013,김천,초,미활용,경상북도 김천시 감문면  태촌리 785,36.2035986327981,128.219862251502
899,경북,두릉초등학교,2005,상주,초,미활용,경상북도 상주시 사벌국면 두릉리 303,36.49018995,128.19029918620515
903,경북,명주초등학교,1999,영천,초,미활용,경상북도 영천시 북안면 명주리 307-1,37.7424715,128.87835158643807
905,경북,명호초등학교북곡분교장,2013,봉화,초,미활용,경상북도 봉화군 명호면 북곡리 1309,36.79547,128.91336
911,경북,물야초등학교오전분교장,1997,봉화,초,미활용,경상북도 봉화군 물야면 오전리 869-2,37.01783,128.73608
917,경북,보성초등학교,1992,군위,초,미활용,경상북도 군위군 소보면 사리리 97-1,36.31492,128.45588
922,경북,봉화중학교봉성분교장,2010,봉화,중,미활용,경상북도 봉화군 봉성면 봉성리 380-2,36.88917,128.82066
924,경북,부남초등학교중기분교장,1992,청송,초,미활용,경상북도 청송군 부남면 중기리 610-2,36.25632,129.1793
927,경북,부석초등학교남대분교장,2010,영주,초,미활용,경상북도 영주시 부석면 남대리 354,37.0464602022307,128.655585568868
936,경북,삼분초등학교,1999,의성,초,미활용,경상북도 의성군 다인면 삼분리 1370-2,36.426885611358344,128.39995676021277
941,경북,상천초등학교,2010,의성,초,미활용,경상북도 의성군 금성면 제오리 904-1,37.770441250000005,127.45613063904582
942,경북,서벽초등학교금정분교장,1995,봉화,초,미활용,경상북도 봉화군 춘양면 우구치리 31-2,37.05628,128.79466
943,경북,서후초등학교대흥분교장,2022,안동,초,미활용,경상북도 안동시 서후면 대두서리 61,36.6222099761979,128.622682842474
944,경북,석계초등학교,1993,영천,초,미활용,경상북도 영천시 고경면 석계리 5-2,35.67847665,129.3093812933996
962,경북,신산초등학교,1994,의성,초,미활용,경상북도 의성군 단밀면 신하리 551,33.3816560883904,126.875579289726
966,경북,안계초등학교고산분교장,2000,의성,초,미활용,경상북도 의성군 안사면 안사리 669-1,36.45827714682451,128.45107006815323
970,경북,양남초등학교상계분교장,2015,경주,초,미활용,경상북도 경주시 양남면 상계리 57-2,35.6693620131275,129.424784309079
973,경북,양천초등학교,2019,김천,초,미활용,경상북도 김천시 양천동 1301-2,36.0940169,128.1075257
975,경북,연화초등학교,1994,김천,초,미활용,경상북도 김천시 대덕면 연화리 255,36.786912,127.09511199470143
976,경북,영덕야성초등학교매정분교장,2016,영덕,초,미활용,경상북도 영덕군 영덕읍 매정리 88,36.45255,129.41424
980,경북,영순초등학교영창분교장,2008,문경,초,미활용,경상북도 문경시 영순면 말응리 524,36.5449983720211,128.246075192629
982,경북,영천남부초등학교,2012,영천,초,미활용,경상북도 영천시 작산동 56,35.94495,128.9479
986,경북,영화초등학교화덕분교장,2020,영천,초,미활용,경상북도 영천시 화산면 덕암리 140-2,36.0327753975105,128.832849319894
988,경북,예천남부초등학교인포분교,2009,예천,초,미활용,경상북도 예천군 호명면 월포리 382,36.6202446500434,128.478790491199
997,경북,외남초등학교삼남분교장,2013,상주,초,미활용,경상북도 상주시 외남면 신촌리 467,36.346247361689,128.079796586472
1004,경북,운수초등학교화암분교장,1994,고령,초,미활용,경상북도 고령군 운수면 화암리 1163,35.78174,128.26834
1022,경북,이산동부초등학교,1994,영주,초,미활용,경상북도 영주시 이산면 석포리 755,36.8366471040773,128.696830662481
1024,경북,임고중학교,2016,영천,중,미활용,경상북도 영천시 임고면 양평리 2-13,36.0206845476888,128.982465457128
1026,경북,임고초등학교수성분교장,2009,영천,초,미활용,경상북도 영천시 임고면 수성리 901-2,36.0571054101577,129.110157073942
1029,경북,임봉초등학교,2011,구미,초,미활용,경상북도 구미시 산동읍 봉산리 165,36.1393011,128.4590804
1031,경북,자명초등학교,2005,포항,초,미활용,경상북도 포항시 남구 연일읍 자명리 526-1,36.0226394,129.303139
1036,경북,죽변초등학교화성분교장,2007,울진,초,미활용,경상북도 울진군 죽변면 화성리 369,37.04798,129.38232
1040,경북,중동중학교,2008,상주,중,미활용,경상북도 상주시 중동면 간상리 872,37.48873825,127.07823326952655
1041,경북,지곡초등학교용구분교장,2001,영천,초,미활용,경상북도 영천시 화남면 구전리 414-3,36.1007993830167,128.863710094717
1043,경북,지례중학교,2017,김천,중,미활용,경상북도 김천시 지례면 교리 407,36.0353465271192,128.054912416513
1044,경북,지례중학교구성분교장,2017,김천,중,미활용,경상북도 김천시 구성면 송죽리 800,36.0353465271192,128.054912416513
1047,경북,지사초등학교,2012,성주,초,미활용,경상북도 성주군 수륜면 오천리 280,35.564326,127.356268
1072,경북,해평초등학교괴곡분교장,1995,구미,초,미활용,경상북도 구미시 해평면 괴곡리 351,36.1771007110408,128.410228298509
1074,경북,해평초등학교향산분교장,2013,구미,초,미활용,경상북도 구미시 해평면 산양리 57-1,36.2261448819514,128.371332479694
1081,경남,김해봉황초등학교,2006,김해,초,미활용,경상남도 김해시  봉황동 129,35.2222170382056,128.869891387744
1085,경남,미천초등학교,2007,진주,초,미활용,경상남도 진주시 미천면 오방리 141-4,35.3189914005111,128.087985399162
1089,경남,숭덕초등학교,1998,거제,초,미활용,경상남도 거제시 둔덕면 술역리 28-3,34.836284649999996,128.49600744176334
1096,경남,가북초등학교용암분교장,1997,거창,초,미활용,경상남도 거창군 가북면 용암리 1967,35.8061342325519,128.030166393181
